W0408 13:47:31.513000 18488 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:  11.3129 | norm:   1.9483 | time:    17.75 | tok/s: 1227.964220 | lr: 0.000100
step:       10 | loss:  11.1594 | norm:   1.8257 | time:    89.62 | tok/s: 32189.362551 | lr: 0.000600
step:       20 | loss:  10.7009 | norm:   1.6254 | time:   110.07 | tok/s: 31256.246998 | lr: 0.001100
step:       30 | loss:  10.0901 | norm:   1.6807 | time:   130.65 | tok/s: 32104.857701 | lr: 0.001600
step:       40 | loss:   9.4356 | norm:   1.6372 | time:   151.08 | tok/s: 32097.922172 | lr: 0.002100
step:       50 | loss:   8.8082 | norm:   1.4598 | time:   171.51 | tok/s: 32120.817043 | lr: 0.002600
step:       60 | loss:   8.4580 | norm:   1.5295 | time:   191.94 | tok/s: 32135.976966 | lr: 0.003100
step:       70 | loss:   7.7488 | norm:   1.1438 | time:   212.37 | tok/s: 32095.714679 | lr: 0.003600
step:       80 | loss:   7.2658 | norm:   2.1158 | time:   232.79 | tok/s: 32073.139981 | lr: 0.004100
step:       90 | loss:   6.9294 | norm:   2.9770 | time:   253.23 | tok/s: 32081.143098 | lr: 0.004600
step:      100 | loss:   6.6528 | norm:   2.6393 | time:   273.66 | tok/s: 32072.036029 | lr: 0.005100
step:      110 | loss:   6.3883 | norm:   2.7133 | time:   294.15 | tok/s: 32088.876749 | lr: 0.005600
step:      120 | loss:   6.0910 | norm:   2.8710 | time:   314.65 | tok/s: 32030.813922 | lr: 0.006100
step:      130 | loss:   5.8218 | norm:   1.9570 | time:   335.20 | tok/s: 32090.502601 | lr: 0.006600
step:      140 | loss:   5.8587 | norm:   3.2683 | time:   355.69 | tok/s: 32066.173259 | lr: 0.007100
step:      150 | loss:   5.7087 | norm:   2.3956 | time:   376.22 | tok/s: 32063.109908 | lr: 0.007600
step:      160 | loss:   5.4553 | norm:   2.4974 | time:   396.73 | tok/s: 32088.389775 | lr: 0.008100
step:      170 | loss:   5.4338 | norm:   2.4915 | time:   417.22 | tok/s: 32108.311587 | lr: 0.008600
step:      180 | loss:   5.3689 | norm:   2.4862 | time:   437.72 | tok/s: 32121.263712 | lr: 0.009100
step:      190 | loss:   5.3282 | norm:   2.1143 | time:   458.22 | tok/s: 32081.405195 | lr: 0.009600
step:      200 | loss:   5.2950 | norm:   3.4028 | time:   478.72 | tok/s: 32074.831607 | lr: 0.010100
step:      210 | loss:   5.2273 | norm:   2.6919 | time:   499.22 | tok/s: 32084.337225 | lr: 0.010000
step:      220 | loss:   5.1321 | norm:   2.2683 | time:   519.71 | tok/s: 32118.985452 | lr: 0.010000
step:      230 | loss:   5.1489 | norm:   2.8863 | time:   540.21 | tok/s: 32068.466481 | lr: 0.010000
step:      240 | loss:   4.9545 | norm:   2.2710 | time:   560.75 | tok/s: 32074.910205 | lr: 0.010000
step:      250 | loss:   4.9935 | norm:   1.9221 | time:   581.27 | tok/s: 32124.946394 | lr: 0.010000
step:      260 | loss:   4.9194 | norm:   2.4775 | time:   601.77 | tok/s: 32070.460690 | lr: 0.010000
step:      270 | loss:   4.9410 | norm:   1.8141 | time:   622.28 | tok/s: 32130.609085 | lr: 0.010000
step:      280 | loss:   4.8115 | norm:   2.2145 | time:   642.77 | tok/s: 32076.654422 | lr: 0.010000
step:      290 | loss:   4.8862 | norm:   1.6826 | time:   663.27 | tok/s: 32067.531196 | lr: 0.010000
step:      300 | loss:   4.6570 | norm:   2.7373 | time:   683.79 | tok/s: 32119.480862 | lr: 0.010000
step:      310 | loss:   4.6441 | norm:   1.5284 | time:   704.29 | tok/s: 32089.888205 | lr: 0.010000
step:      320 | loss:   4.8635 | norm:   2.5246 | time:   724.83 | tok/s: 32062.361926 | lr: 0.010000
step:      330 | loss:   4.5368 | norm:   1.8742 | time:   745.33 | tok/s: 32102.120620 | lr: 0.010000
step:      340 | loss:   4.5681 | norm:   2.1235 | time:   765.83 | tok/s: 32066.831639 | lr: 0.010000
step:      350 | loss:   4.5283 | norm:   2.0219 | time:   786.34 | tok/s: 32106.526423 | lr: 0.010000
step:      360 | loss:   4.4762 | norm:   2.0227 | time:   806.84 | tok/s: 32084.045121 | lr: 0.010000
step:      370 | loss:   4.5059 | norm:   2.1102 | time:   827.35 | tok/s: 32096.336794 | lr: 0.010000
step:      380 | loss:   4.4965 | norm:   1.8767 | time:   847.85 | tok/s: 32081.667296 | lr: 0.010000
step:      390 | loss:   4.4833 | norm:   1.8791 | time:   868.35 | tok/s: 32092.829279 | lr: 0.010000
step:      400 | loss:   4.4188 | norm:   2.1681 | time:   888.85 | tok/s: 32063.895327 | lr: 0.010000
step:      410 | loss:   4.4841 | norm:   2.6094 | time:   909.36 | tok/s: 32103.331627 | lr: 0.010000
step:      420 | loss:   4.3194 | norm:   1.7478 | time:   929.87 | tok/s: 32106.102664 | lr: 0.010000
